,total_cases,city,year,month,week,day,vegetation_ne,vegetation_nw,vegetation_se,vegetation_sw,satellite_precipiatation,current_precipitation,forecast_precipitation,current_temperature,forecast_mean_temperature,forecast_avg_temperature,current_max_temperature,current_min_temperature,forecast_max_temperature,forecast_min_temperature,current_diurnal_temperature_range,forecast_diurnal_temperature_range,current_specific_humidity,forecast_dew_point_temperature,forecast_relative_humidity,cases_zscore,current_temperature_outlier,current_precipitation_outlier,current_specific_humidity_outlier,date,season,log_cases,temp_precip_interaction,is_outbreak,cases_lag,cases_3mo_avg,quarter,temp_category,rain_category,humidity_category
0,4,0,1990,4,18,30,0.1226,0.103725,0.1984833,0.1776167,12.42,16.0,32.0,25.44285714,297.5728571,297.7428571,29.4,20.0,299.8,295.9,6.9,2.628571429,14.01285714,292.4142857,73.36571429,-0.4744068474885674,0,0,0,1990-04-30,dry_season,1.6094379124341003,407.08571424,0,,4.0,2,Cool,Medium,Low
1,5,0,1990,5,19,7,0.1699,0.142175,0.1623571,0.1554857,22.82,8.6,17.94,26.71428571,298.2114286,298.4428571,31.7,22.2,300.9,296.4,6.371428571,2.371428571,15.37285714,293.9514286,77.36857143,-0.45146108228432347,0,0,0,1990-05-07,dry_season,1.791759469228055,229.74285710599997,0,4.0,4.5,2,Cool,Low,Low
2,4,0,1990,5,20,14,0.03225,0.1729667,0.1572,0.1708429,34.54,41.4,26.1,26.71428571,298.7814286,298.8785714,32.2,22.8,300.5,297.3,6.485714286,2.3,16.84857143,295.4342857,82.05285714,-0.4744068474885674,0,0,0,1990-05-14,dry_season,1.6094379124341003,1105.971428394,0,5.0,4.333333333333333,2,Cool,High,Medium
3,3,0,1990,5,21,21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,4.0,13.9,27.47142857,298.9871429,299.2285714,33.3,23.3,301.4,297.0,6.771428571,2.428571429,16.67285714,295.31,80.33714286,-0.4973526126928113,0,0,0,1990-05-21,dry_season,1.3862943611198906,109.88571428,0,4.0,4.0,2,Moderate,Low,Medium
4,6,0,1990,5,22,28,0.1962,0.2622,0.2512,0.24734,7.52,5.8,12.2,28.94285714,299.5185714,299.6642857,35.0,23.9,301.9,297.5,9.371428571,3.014285714,17.21,295.8214286,80.46,-0.42851531708007956,0,0,0,1990-05-28,dry_season,1.9459101490553132,167.868571412,0,3.0,4.333333333333333,2,Hot,Low,Medium
5,2,0,1990,6,23,4,0.1422935374167987,0.17485,0.2543143,0.1817429,9.58,39.1,26.49,28.11428571,299.63,299.7642857,34.4,23.9,302.4,298.1,6.942857143,2.1,17.21285714,295.8514286,79.89142857,-0.5202983778970552,0,0,0,1990-06-04,dry_season,1.0986122886681098,1099.268571261,0,6.0,3.6666666666666665,2,Hot,Medium,Medium
6,4,0,1990,6,24,11,0.1129,0.0928,0.2050714,0.2102714,3.48,29.7,38.6,27.41428571,299.2071429,299.2214286,32.2,23.3,301.3,297.7,6.771428571,2.042857143,17.23428571,295.8657143,82.0,-0.4744068474885674,0,0,0,1990-06-11,dry_season,1.6094379124341003,814.2042855870001,0,2.0,4.0,2,Moderate,Medium,Medium
7,5,0,1990,6,25,18,0.0725,0.0725,0.1514714,0.1330286,151.12,21.1,30.0,28.37142857,299.5914286,299.5285714,33.9,22.8,300.6,298.4,7.685714286,1.571428571,17.97714286,296.5314286,83.37571429,-0.45146108228432347,0,0,0,1990-06-18,dry_season,1.791759469228055,598.637142827,0,4.0,3.6666666666666665,2,Hot,Medium,High
8,10,0,1990,6,26,25,0.10245,0.146175,0.1255714,0.1236,19.32,21.1,37.51,28.32857143,299.5785714,299.5571429,33.9,22.8,302.1,297.7,7.385714286,1.885714286,17.79,296.3785714,82.76857143,-0.336732256263104,0,0,0,1990-06-25,dry_season,2.3978952727983707,597.7328571730001,0,5.0,6.333333333333333,2,Hot,Medium,High
9,6,0,1990,7,27,2,0.1422935374167987,0.12155,0.1606833,0.2025667,14.41,1.1,28.4,28.32857143,300.1542857,300.2785714,33.9,24.4,302.3,298.7,6.514285714,2.014285714,18.07142857,296.6514286,81.28142857,-0.42851531708007956,0,0,0,1990-07-02,dry_season,1.9459101490553132,31.161428573000002,0,10.0,7.0,3,Hot,Low,High
10,8,0,1990,7,28,9,0.192875,0.08235,0.1919429,0.1529286,22.27,63.7,43.72,27.55714286,299.5128571,299.5928571,31.7,21.7,301.8,298.0,7.157142857,2.157142857,17.41857143,296.0414286,81.46714286,-0.3826237866715918,0,0,0,1990-07-09,dry_season,2.1972245773362196,1755.390000182,0,6.0,8.0,3,Moderate,High,Medium
11,2,0,1990,7,29,16,0.2916,0.2118,0.3012,0.2806667,59.17,12.2,40.9,28.12857143,299.6671429,299.75,32.8,23.9,302.0,297.3,6.9,2.414285714,17.73714286,296.3342857,82.14428571,-0.5202983778970552,0,0,0,1990-07-16,dry_season,1.0986122886681098,343.168571446,0,8.0,5.333333333333333,3,Hot,Low,High
12,6,0,1990,7,30,23,0.1505667,0.1717,0.2269,0.2145571,16.48,32.6,42.53,28.11428571,299.5585714,299.6357143,31.7,22.8,301.8,297.1,6.357142857,2.071428571,17.34142857,295.96,80.74285714,-0.42851531708007956,0,0,0,1990-07-23,dry_season,1.9459101490553132,916.525714146,0,2.0,5.333333333333333,3,Hot,Medium,Medium
13,17,0,1990,7,31,30,0.1422935374167987,0.24715,0.3797,0.3813571,32.66,37.6,34.6,28.24285714,299.8628571,299.95,34.4,22.8,303.0,298.3,8.085714286,2.585714286,17.59428571,296.1728571,80.58428571,-0.17611189983339667,0,0,0,1990-07-30,dry_season,2.8903717578961645,1061.9314284640002,0,6.0,8.333333333333334,3,Hot,Medium,Medium
